name,team,url_trans,url_picture,position,name_instagram,name_twitter,follower_instagram,follower_twitter,market_value,fantasy_score,note,follower_instagram_norm,follower_twitter_norm,market_value_norm,fantasy_score_norm,note_norm,fame
Marco Wölfli,BSC Young Boys,/david-von-ballmoos/profil/spieler/203124,https://tmssl.akamaized.net//images/portrait/header/203124-1533134983.jpg?lm=1533134993,Goalkeeper,woelfli_1,,11306,0,38500000,3,6.0,0.03911691133477032,0.0,0.46631087391594395,0.02830188679245283,1.0,51.0
David Von Ballmoos,BSC Young Boys,/marco-wolfli/profil/spieler/4860,https://tmssl.akamaized.net//images/portrait/header/4860-1533135588.jpg?lm=1533135598,Goalkeeper,davidvonballmoos,,10469,0,385000,0,5.0,0.03622102819420754,0.0,0.004002668445630421,0.0,0.8333333333333334,51.0
Dario Marzino,BSC Young Boys,/dario-marzino/profil/spieler/254968,https://tmssl.akamaized.net//images/portrait/header/254968-1533135547.jpg?lm=1533135559,Goalkeeper,dariomarzino,,1765,0,165000,0,0.0,0.006106611401545163,0.0,0.00133422281521014,0.0,0.0,51.0
Frederik Sörensen,BSC Young Boys,/mohamed-camara/profil/spieler/426723,https://tmssl.akamaized.net//images/portrait/header/426723-1533135666.jpg?lm=1533135680,Centre-Back,frederiksorensen4,,21033,0,33000000,34,5.5,0.0727707408547872,0.0,0.39959973315543695,0.32075471698113206,0.9166666666666666,51.0
Mohamed Ali Camara,BSC Young Boys,/fabian-lustenberger/profil/spieler/42203,https://tmssl.akamaized.net//images/portrait/header/42203-1532355372.jpg?lm=1532355485,Centre-Back,camara_mhdali4,,12966,0,27500000,0,0.0,0.044860239905062084,0.0,0.33288859239492996,0.0,0.0,51.0
Cédric Zesiger,BSC Young Boys,/frederik-sorensen/profil/spieler/91716,https://tmssl.akamaized.net//images/portrait/header/91716-1531736286.jpg?lm=1531736343,Centre-Back,zesiger5,ZesigerCedric33,4597,149,16500000,42,5.5,0.015904868335922445,0.003465922307513375,0.19946631087391595,0.39622641509433965,0.9166666666666666,51.0
Nicolas Bürgy,BSC Young Boys,/cedric-zesiger/profil/spieler/382478,https://tmssl.akamaized.net//images/portrait/header/382478-1548261934.jpg?lm=1548262034,Centre-Back,nbuergy,,2906,0,825000,41,3.5,0.010054284834498722,0.0,0.009339559706470981,0.3867924528301887,0.5833333333333334,51.0
Ulisses Garcia,BSC Young Boys,/nicolas-burgy/profil/spieler/203895,https://tmssl.akamaized.net//images/portrait/header/203895-1550817713.jpg?lm=1550817743,Centre-Back,ulissesgarcia20,ulisses_garcia3,15785,1331,550000,62,4.0,0.05461351896509371,0.030960688532216795,0.00600400266844563,0.5849056603773585,0.6666666666666666,51.0
Saidy Janko,BSC Young Boys,/ulisses-garcia/profil/spieler/192616,https://tmssl.akamaized.net//images/portrait/header/192616-1533135841.jpg?lm=1533135851,Left-Back,saidyjanko22,,59359,0,19250000,0,3.5,0.2053724340987645,0.0,0.23282188125416944,0.0,0.5833333333333334,51.0
Fabian Lustenberger,BSC Young Boys,/jordan-lotomba/profil/spieler/313094,https://tmssl.akamaized.net//images/portrait/header/313094-1533135904.jpg?lm=1533135912,Right-Back,lusti28,,24232,0,49500000,54,4.5,0.0838387577803073,0.0,0.5997331554369579,0.5094339622641509,0.75,51.0
Jordan Lotomba,BSC Young Boys,/saidy-janko/profil/spieler/196435,https://tmssl.akamaized.net//images/portrait/header/196435-1541149070.JPG?lm=1541149082,Right-Back,j_lotomba,,4528,0,22000000,43,3.5,0.01566613961824164,0.0,0.26617745163442297,0.4056603773584906,0.5833333333333334,51.0
Esteban Petignat,BSC Young Boys,/christopher-martins-pereira/profil/spieler/248054,https://tmssl.akamaized.net//images/portrait/header/248054-1527445270.png?lm=1527445280,DefensiveMidfield,estebanpetignat6,,1389,0,22000000,4,0.0,0.004805712882009196,0.0,0.26617745163442297,0.03773584905660377,0.0,51.0
Marvin Spielmann,BSC Young Boys,/michel-aebischer/profil/spieler/237658,https://tmssl.akamaized.net//images/portrait/header/237658-1533136045.jpg?lm=1533136054,CentralMidfield,mspielmann33,,5242,0,49500000,0,5.0,0.018136462870764727,0.0,0.5997331554369579,0.0,0.8333333333333334,51.0
Vincent Sierro,BSC Young Boys,/vincent-sierro/profil/spieler/280387,https://tmssl.akamaized.net//images/portrait/header/280387-1502270864.jpg?lm=1502270940,CentralMidfield,vincent_sierro,,8078,0,33000000,24,5.0,0.02794855915109452,0.0,0.39959973315543695,0.22641509433962265,0.8333333333333334,51.0
Miralem Sulejmani,BSC Young Boys,/sandro-lauper/profil/spieler/254965,https://tmssl.akamaized.net//images/portrait/header/254965-1533136141.jpg?lm=1533136151,CentralMidfield,,miralems,0,24684,33000000,5,4.5,0.0,0.5741800418702023,0.39959973315543695,0.04716981132075472,0.75,51.0
Gianluca Gaudino,BSC Young Boys,/gianluca-gaudino/profil/spieler/195051,https://tmssl.akamaized.net//images/portrait/header/195051-1437472585.jpg?lm=1437472613,CentralMidfield,gaudino.gianluca,,26576,0,550000,56,5.5,0.09194861450847833,0.0,0.00600400266844563,0.5283018867924528,0.9166666666666666,51.0
Nicolas Moumi Ngamaleu,BSC Young Boys,/esteban-petignat/profil/spieler/479480,https://tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,CentralMidfield,nm.ngamaleu13,,31252,0,55000,73,3.0,0.10812680992696286,0.0,0.0,0.6886792452830188,0.5,51.0
Christian Fassnacht,BSC Young Boys,/christian-fassnacht/profil/spieler/250490,https://tmssl.akamaized.net//images/portrait/header/250490-1533136289.jpg?lm=1533136297,RightMidfield,fassnacht16,,12936,0,55000000,0,4.5,0.04475644481041826,0.0,0.6664442961974649,0.0,0.75,51.0
Michel Aebischer,BSC Young Boys,/marvin-spielmann/profil/spieler/192653,https://tmssl.akamaized.net//images/portrait/header/192653-1554800076.jpg?lm=1554800092,LeftMidfield,michel.aebischer,,5654,0,55000000,69,5.0,0.019561915503873286,0.0,0.6664442961974649,0.6509433962264151,0.8333333333333334,51.0
Sandro Lauper,BSC Young Boys,/miralem-sulejmani/profil/spieler/36080,https://tmssl.akamaized.net//images/portrait/header/36080-1533136216.jpg?lm=1533136237,LeftWinger,sml.30,,5313,0,49500000,0,5.5,0.018382111261421787,0.0,0.5997331554369579,0.0,0.9166666666666666,51.0
Christopher Martins Pereira,BSC Young Boys,/felix-mambimbi/profil/spieler/507496,https://tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,LeftWinger,chrismartins___,chrismartins_25,11326,4147,495000,0,0.0,0.03918610806453287,0.09646429402186556,0.00533689126084056,0.0,0.0,51.0
Roger Assalé,BSC Young Boys,/nicolas-moumi-ngamaleu/profil/spieler/266768,https://tmssl.akamaized.net//images/portrait/header/266768-1533136320.jpg?lm=1533136327,RightWinger,,,0,0,66000000,49,4.5,0.0,0.0,0.799866577718479,0.46226415094339623,0.75,51.0
Jean-Pierre Nsame,BSC Young Boys,/roger-assale/profil/spieler/263183,https://tmssl.akamaized.net//images/portrait/header/263183-1533136348.jpg?lm=1533136361,Centre-Forward,nsame18,nsa33ns,6708,1034,82500000,106,4.5,0.02320858316235975,0.024052105140730404,1.0,1.0,0.75,51.0
Felix Mambimbi,BSC Young Boys,/jean-pierre-nsame/profil/spieler/225055,https://tmssl.akamaized.net//images/portrait/header/225055-1533136378.jpg?lm=1533136386,Centre-Forward,felixmambimbi,,4723,0,49500000,19,0.0,0.01634080773342652,0.0,0.5997331554369579,0.1792452830188679,0.0,51.0
Guillaume Hoarau,BSC Young Boys,/guillaume-hoarau/profil/spieler/23934,https://tmssl.akamaized.net//images/portrait/header/23934-1533136406.jpg?lm=1533136418,Centre-Forward,hoarauguillaume,hoarauguillaume,289031,42990,16500000,15,5.0,1.0,1.0,0.19946631087391595,0.14150943396226415,0.8333333333333334,51.0
